IP,SLOT,PORT,VLAN,ID_PORT
172.28.113.73,17,1,"2682,,634",12103985-75983101
172.28.113.73,17,2,"2682,,634",12103985-75983102
172.28.113.73,17,3,"2682,,634",12103985-75983103
172.28.113.73,17,4,"2682,,634",12103985-75983104
172.28.113.73,17,5,"2682,,634",12103985-75983105
172.28.113.73,17,6,"2682,,634",12103985-75983106
172.28.113.73,17,7,"2682,,634",12103985-75983107
172.28.113.73,17,8,"2682,,634",12103985-75983108
172.28.113.74,2,1,"2683,,650",12103153-75978526
172.28.113.74,2,2,"2683,,650",12103153-75978527
172.28.113.74,2,3,"2683,,650",12103153-75978528
172.28.113.74,2,4,"2683,,650",12103153-75978529
172.28.113.74,2,5,"2683,,650",12103153-75978530
172.28.113.74,2,6,"2683,,650",12103153-75978531
172.28.113.74,2,7,"2683,,650",12103153-75978532
172.28.113.74,2,8,"2683,,650",12103153-75978533
172.28.113.74,3,1,"2683,,650",12103170-75978648
172.28.113.74,3,2,"2683,,650",12103170-75978649
172.28.113.74,3,3,"2683,,650",12103170-75978650
172.28.113.74,3,4,"2683,,650",12103170-75978651
172.28.113.74,3,5,"2683,,650",12103170-75978652
172.28.113.74,3,6,"2683,,650",12103170-75978653
172.28.113.74,3,7,"2683,,650",12103170-75978654
172.28.113.74,3,8,"2683,,650",12103170-75978655
172.28.113.74,4,1,"2683,,650",12103188-75978769
172.28.113.74,4,2,"2683,,650",12103188-75978770
172.28.113.74,4,3,"2683,,650",12103188-75978771
172.28.113.74,4,4,"2683,,650",12103188-75978772
172.28.113.74,4,5,"2683,,650",12103188-75978773
172.28.113.74,4,6,"2683,,650",12103188-75978774
172.28.113.74,4,7,"2683,,650",12103188-75978775
172.28.113.74,4,8,"2683,,650",12103188-75978776
172.28.113.74,5,1,"2683,,650",12103208-75978877
172.28.113.74,5,2,"2683,,650",12103208-75978878
172.28.113.74,5,3,"2683,,650",12103208-75978879
172.28.113.74,5,4,"2683,,650",12103208-75978880
172.28.113.74,5,5,"2683,,650",12103208-75978881
172.28.113.74,5,6,"2683,,650",12103208-75978882
172.28.113.74,5,7,"2683,,650",12103208-75978883
172.28.113.74,5,8,"2683,,650",12103208-75978884
172.28.113.74,6,1,"2683,,650",12103225-75978968
172.28.113.74,6,2,"2683,,650",12103225-75978970
172.28.113.74,6,3,"2683,,650",12103225-75978972
172.28.113.74,6,4,"2683,,650",12103225-75978974
172.28.113.74,6,5,"2683,,650",12103225-75978975
172.28.113.74,6,6,"2683,,650",12103225-75978976
172.28.113.74,6,7,"2683,,650",12103225-75978978
172.28.113.74,6,8,"2683,,650",12103225-75978980
172.28.113.74,7,1,"2683,,650",12103240-75979067
172.28.113.74,7,2,"2683,,650",12103240-75979074
172.28.113.74,7,3,"2683,,650",12103240-75979078
172.28.113.74,7,4,"2683,,650",12103240-75979079
172.28.113.74,7,5,"2683,,650",12103240-75979084
172.28.113.74,7,6,"2683,,650",12103240-75979086
172.28.113.74,7,7,"2683,,650",12103240-75979087
172.28.113.74,7,8,"2683,,650",12103240-75979089
172.28.113.74,8,1,"2683,,650",12103259-75979185
172.28.113.74,8,2,"2683,,650",12103259-75979186
172.28.113.74,8,3,"2683,,650",12103259-75979187
172.28.113.74,8,4,"2683,,650",12103259-75979188
172.28.113.74,8,5,"2683,,650",12103259-75979190
172.28.113.74,8,6,"2683,,650",12103259-75979198
172.28.113.74,8,7,"2683,,650",12103259-75979199
172.28.113.74,8,8,"2683,,650",12103259-75979200
172.28.113.74,9,1,"2683,,650",12103275-75979273
172.28.113.74,9,2,"2683,,650",12103275-75979274
172.28.113.74,9,3,"2683,,650",12103275-75979275
172.28.113.74,9,4,"2683,,650",12103275-75979276
172.28.113.74,9,5,"2683,,650",12103275-75979277
172.28.113.74,9,6,"2683,,650",12103275-75979278
172.28.113.74,9,7,"2683,,650",12103275-75979280
172.28.113.74,9,8,"2683,,650",12103275-75979282
172.28.113.74,12,1,"2683,,650",12103315-75979392
172.28.113.74,12,2,"2683,,650",12103315-75979394
172.28.113.74,12,3,"2683,,650",12103315-75979397
172.28.113.74,12,4,"2683,,650",12103315-75979398
172.28.113.74,12,5,"2683,,650",12103315-75979399
172.28.113.74,12,6,"2683,,650",12103315-75979400
172.28.113.74,12,7,"2683,,650",12103315-75979401
172.28.113.74,12,8,"2683,,650",12103315-75979402
172.28.113.74,13,1,"2683,,650",12103329-75979482
172.28.113.74,13,2,"2683,,650",12103329-75979484
172.28.113.74,13,3,"2683,,650",12103329-75979486
172.28.113.74,13,4,"2683,,650",12103329-75979488
172.28.113.74,13,5,"2683,,650",12103329-75979490
172.28.113.74,13,6,"2683,,650",12103329-75979492
172.28.113.74,13,7,"2683,,650",12103329-75979493
172.28.113.74,13,8,"2683,,650",12103329-75979494
172.28.113.74,14,1,"2683,,650",12103340-75979566
172.28.113.74,14,2,"2683,,650",12103340-75979568
172.28.113.74,14,3,"2683,,650",12103340-75979570
172.28.113.74,14,4,"2683,,650",12103340-75979572
172.28.113.74,14,5,"2683,,650",12103340-75979574
172.28.113.74,14,6,"2683,,650",12103340-75979576
172.28.113.74,14,7,"2683,,650",12103340-75979577
172.28.113.74,14,8,"2683,,650",12103340-75979578
172.28.113.74,15,1,"2683,,650",12103350-75979651
172.28.113.74,15,2,"2683,,650",12103350-75979652
172.28.113.74,15,3,"2683,,650",12103350-75979655
172.28.113.74,15,4,"2683,,650",12103350-75979657
172.28.113.74,15,5,"2683,,650",12103350-75979660
172.28.113.74,15,6,"2683,,650",12103350-75979663
172.28.113.74,15,7,"2683,,650",12103350-75979665
172.28.113.74,15,8,"2683,,650",12103350-75979666
172.28.113.74,16,1,"2683,,650",12103365-75979791
172.28.113.74,16,2,"2683,,650",12103365-75979793
172.28.113.74,16,3,"2683,,650",12103365-75979796
172.28.113.74,16,4,"2683,,650",12103365-75979798
172.28.113.74,16,5,"2683,,650",12103365-75979799
172.28.113.74,16,6,"2683,,650",12103365-75979800
172.28.113.74,16,7,"2683,,650",12103365-75979801
172.28.113.74,16,8,"2683,,650",12103365-75979802
172.28.113.74,17,1,"2683,,650",12103378-75979859
172.28.113.74,17,2,"2683,,650",12103378-75979860
172.28.113.74,17,3,"2683,,650",12103378-75979861
172.28.113.74,17,4,"2683,,650",12103378-75979862
172.28.113.74,17,5,"2683,,650",12103378-75979863
172.28.113.74,17,6,"2683,,650",12103378-75979864
172.28.113.74,17,7,"2683,,650",12103378-75979865
172.28.113.74,17,8,"2683,,650",12103378-75979866
172.28.113.75,2,1,"2684,,666",12103420-75980051
172.28.113.75,2,2,"2684,,666",12103420-75980052
172.28.113.75,2,3,"2684,,666",12103420-75980053
172.28.113.75,2,4,"2684,,666",12103420-75980054
172.28.113.75,2,5,"2684,,666",12103420-75980055
172.28.113.75,2,6,"2684,,666",12103420-75980056
172.28.113.75,2,7,"2684,,666",12103420-75980057
172.28.113.75,2,8,"2684,,666",12103420-75980058
172.28.113.75,3,1,"2684,,666",12103425-75980091
172.28.113.75,3,2,"2684,,666",12103425-75980092
172.28.113.75,3,3,"2684,,666",12103425-75980093
172.28.113.75,3,4,"2684,,666",12103425-75980094
172.28.113.75,3,5,"2684,,666",12103425-75980095
172.28.113.75,3,6,"2684,,666",12103425-75980096
172.28.113.75,3,7,"2684,,666",12103425-75980097
172.28.113.75,3,8,"2684,,666",12103425-75980098
172.28.113.75,4,1,"2684,,666",12103432-75980131
172.28.113.75,4,2,"2684,,666",12103432-75980132
172.28.113.75,4,3,"2684,,666",12103432-75980133
172.28.113.75,4,4,"2684,,666",12103432-75980134
172.28.113.75,4,5,"2684,,666",12103432-75980135
172.28.113.75,4,6,"2684,,666",12103432-75980136
172.28.113.75,4,7,"2684,,666",12103432-75980137
172.28.113.75,4,8,"2684,,666",12103432-75980138
172.28.113.75,5,1,"2684,,666",12103439-75980178
172.28.113.75,5,2,"2684,,666",12103439-75980181
172.28.113.75,5,3,"2684,,666",12103439-75980183
172.28.113.75,5,4,"2684,,666",12103439-75980184
172.28.113.75,5,5,"2684,,666",12103439-75980185
172.28.113.75,5,6,"2684,,666",12103439-75980186
172.28.113.75,5,7,"2684,,666",12103439-75980188
172.28.113.75,5,8,"2684,,666",12103439-75980189
172.28.113.75,6,1,"2684,,666",12103447-75980236
172.28.113.75,6,2,"2684,,666",12103447-75980237
172.28.113.75,6,3,"2684,,666",12103447-75980238
172.28.113.75,6,4,"2684,,666",12103447-75980239
172.28.113.75,6,5,"2684,,666",12103447-75980240
172.28.113.75,6,6,"2684,,666",12103447-75980241
172.28.113.75,6,7,"2684,,666",12103447-75980242
172.28.113.75,6,8,"2684,,666",12103447-75980243
172.28.113.75,7,1,"2684,,666",12103452-75980276
172.28.113.75,7,2,"2684,,666",12103452-75980277
172.28.113.75,7,3,"2684,,666",12103452-75980278
172.28.113.75,7,4,"2684,,666",12103452-75980279
172.28.113.75,7,5,"2684,,666",12103452-75980280
172.28.113.75,7,6,"2684,,666",12103452-75980281
172.28.113.75,7,7,"2684,,666",12103452-75980282
172.28.113.75,7,8,"2684,,666",12103452-75980283
172.28.113.75,8,1,"2684,,666",12103458-75980308
172.28.113.75,8,2,"2684,,666",12103458-75980309
172.28.113.75,8,3,"2684,,666",12103458-75980310
172.28.113.75,8,4,"2684,,666",12103458-75980312
172.28.113.75,8,5,"2684,,666",12103458-75980313
172.28.113.75,8,6,"2684,,666",12103458-75980315
172.28.113.75,8,7,"2684,,666",12103458-75980317
172.28.113.75,8,8,"2684,,666",12103458-75980320
172.28.113.75,9,1,"2684,,666",12103467-75980356
172.28.113.75,9,2,"2684,,666",12103467-75980357
172.28.113.75,9,3,"2684,,666",12103467-75980358
172.28.113.75,9,4,"2684,,666",12103467-75980359
172.28.113.75,9,5,"2684,,666",12103467-75980360
172.28.113.75,9,6,"2684,,666",12103467-75980361
172.28.113.75,9,7,"2684,,666",12103467-75980362
172.28.113.75,9,8,"2684,,666",12103467-75980363
172.28.113.75,12,1,"2684,,666",12103487-75980468
172.28.113.75,12,2,"2684,,666",12103487-75980469
172.28.113.75,12,3,"2684,,666",12103487-75980470
172.28.113.75,12,4,"2684,,666",12103487-75980471
172.28.113.75,12,5,"2684,,666",12103487-75980472
172.28.113.75,12,6,"2684,,666",12103487-75980473
172.28.113.75,12,7,"2684,,666",12103487-75980474
172.28.113.75,12,8,"2684,,666",12103487-75980475
172.28.113.75,13,1,"2684,,666",12103495-75980516
172.28.113.75,13,2,"2684,,666",12103495-75980517
172.28.113.75,13,3,"2684,,666",12103495-75980518
172.28.113.75,13,4,"2684,,666",12103495-75980519
172.28.113.75,13,5,"2684,,666",12103495-75980520
172.28.113.75,13,6,"2684,,666",12103495-75980521
172.28.113.75,13,7,"2684,,666",12103495-75980522
172.28.113.75,13,8,"2684,,666",12103495-75980523
172.28.113.75,14,1,"2684,,666",12103502-75980564
172.28.113.75,14,2,"2684,,666",12103502-75980565
172.28.113.75,14,3,"2684,,666",12103502-75980566
172.28.113.75,14,4,"2684,,666",12103502-75980567
172.28.113.75,14,5,"2684,,666",12103502-75980568
172.28.113.75,14,6,"2684,,666",12103502-75980569
172.28.113.75,14,7,"2684,,666",12103502-75980570
172.28.113.75,14,8,"2684,,666",12103502-75980571
172.28.113.75,15,1,"2684,,666",12103511-75980612
172.28.113.75,15,2,"2684,,666",12103511-75980617
172.28.113.75,15,3,"2684,,666",12103511-75980619
172.28.113.75,15,4,"2684,,666",12103511-75980621
172.28.113.75,15,5,"2684,,666",12103511-75980623
172.28.113.75,15,6,"2684,,666",12103511-75980625
172.28.113.75,15,7,"2684,,666",12103511-75980626
172.28.113.75,15,8,"2684,,666",12103511-75980627
172.28.113.75,16,1,"2684,,666",12103517-75980648
172.28.113.75,16,2,"2684,,666",12103517-75980649
172.28.113.75,16,3,"2684,,666",12103517-75980650
172.28.113.75,16,4,"2684,,666",12103517-75980651
172.28.113.75,16,5,"2684,,666",12103517-75980652
172.28.113.75,16,6,"2684,,666",12103517-75980653
172.28.113.75,16,7,"2684,,666",12103517-75980654
172.28.113.75,16,8,"2684,,666",12103517-75980655
172.28.113.75,17,1,"2684,,666",12103523-75980696
172.28.113.75,17,2,"2684,,666",12103523-75980697
172.28.113.75,17,3,"2684,,666",12103523-75980698
172.28.113.75,17,4,"2684,,666",12103523-75980699
172.28.113.75,17,5,"2684,,666",12103523-75980700
172.28.113.75,17,6,"2684,,666",12103523-75980701
172.28.113.75,17,7,"2684,,666",12103523-75980702
172.28.113.75,17,8,"2684,,666",12103523-75980703
172.28.113.76,2,1,"2685,,681",12103442-75980196
172.28.113.76,2,2,"2685,,681",12103442-75980197
172.28.113.76,2,3,"2685,,681",12103442-75980198
172.28.113.76,2,4,"2685,,681",12103442-75980199
172.28.113.76,2,5,"2685,,681",12103442-75980200
172.28.113.76,2,6,"2685,,681",12103442-75980201
172.28.113.76,2,7,"2685,,681",12103442-75980202
172.28.113.76,2,8,"2685,,681",12103442-75980203
172.28.113.76,3,1,"2685,,681",12103448-75980252
172.28.113.76,3,2,"2685,,681",12103448-75980253
172.28.113.76,3,3,"2685,,681",12103448-75980254
172.28.113.76,3,4,"2685,,681",12103448-75980255
172.28.113.76,3,5,"2685,,681",12103448-75980256
172.28.113.76,3,6,"2685,,681",12103448-75980257
172.28.113.76,3,7,"2685,,681",12103448-75980258
172.28.113.76,3,8,"2685,,681",12103448-75980259
172.28.113.76,4,1,"2685,,681",12103454-75980292
172.28.113.76,4,2,"2685,,681",12103454-75980293
172.28.113.76,4,3,"2685,,681",12103454-75980294
172.28.113.76,4,4,"2685,,681",12103454-75980295
172.28.113.76,4,5,"2685,,681",12103454-75980296
172.28.113.76,4,6,"2685,,681",12103454-75980297
172.28.113.76,4,7,"2685,,681",12103454-75980298
172.28.113.76,4,8,"2685,,681",12103454-75980299
172.28.113.76,5,1,"2685,,681",12103460-75980324
172.28.113.76,5,2,"2685,,681",12103460-75980325
172.28.113.76,5,3,"2685,,681",12103460-75980326
172.28.113.76,5,4,"2685,,681",12103460-75980327
172.28.113.76,5,5,"2685,,681",12103460-75980328
172.28.113.76,5,6,"2685,,681",12103460-75980329
172.28.113.76,5,7,"2685,,681",12103460-75980330
172.28.113.76,5,8,"2685,,681",12103460-75980331
172.28.113.76,6,1,"2685,,681",12103468-75980364
172.28.113.76,6,2,"2685,,681",12103468-75980365
172.28.113.76,6,3,"2685,,681",12103468-75980367
172.28.113.76,6,4,"2685,,681",12103468-75980369
172.28.113.76,6,5,"2685,,681",12103468-75980371
172.28.113.76,6,6,"2685,,681",12103468-75980373
172.28.113.76,6,7,"2685,,681",12103468-75980375
172.28.113.76,6,8,"2685,,681",12103468-75980377
172.28.113.76,7,1,"2685,,681",12103477-75980412
172.28.113.76,7,2,"2685,,681",12103477-75980413
172.28.113.76,7,3,"2685,,681",12103477-75980414
172.28.113.76,7,4,"2685,,681",12103477-75980415
172.28.113.76,7,5,"2685,,681",12103477-75980416
172.28.113.76,7,6,"2685,,681",12103477-75980417
172.28.113.76,7,7,"2685,,681",12103477-75980418
172.28.113.76,7,8,"2685,,681",12103477-75980419
172.28.113.76,8,1,"2685,,681",12103485-75980444
172.28.113.76,8,2,"2685,,681",12103485-75980445
172.28.113.76,8,3,"2685,,681",12103485-75980446
172.28.113.76,8,4,"2685,,681",12103485-75980450
172.28.113.76,8,5,"2685,,681",12103485-75980453
172.28.113.76,8,6,"2685,,681",12103485-75980456
172.28.113.76,8,7,"2685,,681",12103485-75980460
172.28.113.76,8,8,"2685,,681",12103485-75980463
172.28.113.76,9,1,"2685,,681",12103492-75980492
172.28.113.76,9,2,"2685,,681",12103492-75980493
172.28.113.76,9,3,"2685,,681",12103492-75980494
172.28.113.76,9,4,"2685,,681",12103492-75980495
172.28.113.76,9,5,"2685,,681",12103492-75980496
172.28.113.76,9,6,"2685,,681",12103492-75980497
172.28.113.76,9,7,"2685,,681",12103492-75980498
172.28.113.76,9,8,"2685,,681",12103492-75980499
172.28.113.77,2,1,"2686,,699",12103700-75981346
172.28.113.77,2,2,"2686,,699",12103700-75981347
172.28.113.77,2,3,"2686,,699",12103700-75981348
172.28.113.77,2,4,"2686,,699",12103700-75981349
172.28.113.77,2,5,"2686,,699",12103700-75981350
172.28.113.77,2,6,"2686,,699",12103700-75981351
172.28.113.77,2,7,"2686,,699",12103700-75981353
172.28.113.77,2,8,"2686,,699",12103700-75981355
172.28.113.77,3,1,"2686,,699",12103719-75981459
172.28.113.77,3,2,"2686,,699",12103719-75981460
172.28.113.77,3,3,"2686,,699",12103719-75981461
172.28.113.77,3,4,"2686,,699",12103719-75981462
172.28.113.77,3,5,"2686,,699",12103719-75981463
172.28.113.77,3,6,"2686,,699",12103719-75981465
172.28.113.77,3,7,"2686,,699",12103719-75981466
172.28.113.77,3,8,"2686,,699",12103719-75981468
172.28.113.77,4,1,"2686,,699",12103735-75981619
172.28.113.77,4,2,"2686,,699",12103735-75981620
172.28.113.77,4,3,"2686,,699",12103735-75981621
172.28.113.77,4,4,"2686,,699",12103735-75981622
172.28.113.77,4,5,"2686,,699",12103735-75981623
172.28.113.77,4,6,"2686,,699",12103735-75981624
172.28.113.77,4,7,"2686,,699",12103735-75981625
172.28.113.77,4,8,"2686,,699",12103735-75981626
172.28.113.77,5,1,"2686,,699",12103761-75981809
172.28.113.77,5,2,"2686,,699",12103761-75981810
172.28.113.77,5,3,"2686,,699",12103761-75981811
172.28.113.77,5,4,"2686,,699",12103761-75981812
172.28.113.77,5,5,"2686,,699",12103761-75981813
172.28.113.77,5,6,"2686,,699",12103761-75981814
172.28.113.77,5,7,"2686,,699",12103761-75981815
172.28.113.77,5,8,"2686,,699",12103761-75981816
172.28.113.77,6,1,"2686,,699",12103779-75981901
172.28.113.77,6,2,"2686,,699",12103779-75981902
172.28.113.77,6,3,"2686,,699",12103779-75981903
172.28.113.77,6,4,"2686,,699",12103779-75981904
172.28.113.77,6,5,"2686,,699",12103779-75981905
172.28.113.77,6,6,"2686,,699",12103779-75981906
172.28.113.77,6,7,"2686,,699",12103779-75981907
172.28.113.77,6,8,"2686,,699",12103779-75981908
172.28.113.77,7,1,"2686,,699",12103798-75981989
172.28.113.77,7,2,"2686,,699",12103798-75981990
172.28.113.77,7,3,"2686,,699",12103798-75981991
172.28.113.77,7,4,"2686,,699",12103798-75981992
172.28.113.77,7,5,"2686,,699",12103798-75981993
172.28.113.77,7,6,"2686,,699",12103798-75981994
172.28.113.77,7,7,"2686,,699",12103798-75981995
172.28.113.77,7,8,"2686,,699",12103798-75981996
172.28.113.77,8,1,"2686,,699",12103816-75982089
172.28.113.77,8,2,"2686,,699",12103816-75982090
172.28.113.77,8,3,"2686,,699",12103816-75982091
172.28.113.77,8,4,"2686,,699",12103816-75982092
172.28.113.77,8,5,"2686,,699",12103816-75982093
172.28.113.77,8,6,"2686,,699",12103816-75982094
172.28.113.77,8,7,"2686,,699",12103816-75982095
172.28.113.77,8,8,"2686,,699",12103816-75982096
172.28.113.77,9,1,"2686,,699",12103831-75982245
172.28.113.77,9,2,"2686,,699",12103831-75982246
172.28.113.77,9,3,"2686,,699",12103831-75982247
172.28.113.77,9,4,"2686,,699",12103831-75982248
172.28.113.77,9,5,"2686,,699",12103831-75982249
172.28.113.77,9,6,"2686,,699",12103831-75982250
172.28.113.77,9,7,"2686,,699",12103831-75982251
172.28.113.77,9,8,"2686,,699",12103831-75982252
172.28.113.77,12,1,"2686,,699",12103869-75982360
172.28.113.77,12,2,"2686,,699",12103869-75982361
172.28.113.77,12,3,"2686,,699",12103869-75982362
172.28.113.77,12,4,"2686,,699",12103869-75982363
172.28.113.77,12,5,"2686,,699",12103869-75982364
172.28.113.77,12,6,"2686,,699",12103869-75982365
172.28.113.77,12,7,"2686,,699",12103869-75982366
172.28.113.77,12,8,"2686,,699",12103869-75982367
172.28.113.77,13,1,"2686,,699",12103881-75982447
172.28.113.77,13,2,"2686,,699",12103881-75982448
172.28.113.77,13,3,"2686,,699",12103881-75982450
172.28.113.77,13,4,"2686,,699",12103881-75982451
172.28.113.77,13,5,"2686,,699",12103881-75982452
172.28.113.77,13,6,"2686,,699",12103881-75982453
172.28.113.77,13,7,"2686,,699",12103881-75982454
172.28.113.77,13,8,"2686,,699",12103881-75982455
172.28.113.77,14,1,"2686,,699",12103891-75982534
172.28.113.77,14,2,"2686,,699",12103891-75982536
172.28.113.77,14,3,"2686,,699",12103891-75982538
172.28.113.77,14,4,"2686,,699",12103891-75982539
172.28.113.77,14,5,"2686,,699",12103891-75982541
172.28.113.77,14,6,"2686,,699",12103891-75982543
172.28.113.77,14,7,"2686,,699",12103891-75982544
172.28.113.77,14,8,"2686,,699",12103891-75982546
172.28.113.77,15,1,"2686,,699",12103903-75982604
172.28.113.77,15,2,"2686,,699",12103903-75982606
172.28.113.77,15,3,"2686,,699",12103903-75982609
172.28.113.77,15,4,"2686,,699",12103903-75982611
172.28.113.77,15,5,"2686,,699",12103903-75982614
172.28.113.77,15,6,"2686,,699",12103903-75982617
172.28.113.77,15,7,"2686,,699",12103903-75982621
172.28.113.77,15,8,"2686,,699",12103903-75982625
172.28.113.77,16,1,"2686,,699",12103912-75982676
172.28.113.77,16,2,"2686,,699",12103912-75982677
172.28.113.77,16,3,"2686,,699",12103912-75982678
172.28.113.77,16,4,"2686,,699",12103912-75982679
172.28.113.77,16,5,"2686,,699",12103912-75982680
172.28.113.77,16,6,"2686,,699",12103912-75982681
172.28.113.77,16,7,"2686,,699",12103912-75982682
172.28.113.77,16,8,"2686,,699",12103912-75982683
172.28.113.77,17,1,"2686,,699",12103920-75982772
172.28.113.77,17,2,"2686,,699",12103920-75982773
172.28.113.77,17,3,"2686,,699",12103920-75982774
172.28.113.77,17,4,"2686,,699",12103920-75982775
172.28.113.77,17,5,"2686,,699",12103920-75982776
172.28.113.77,17,6,"2686,,699",12103920-75982777
172.28.113.77,17,7,"2686,,699",12103920-75982778
172.28.113.77,17,8,"2686,,699",12103920-75982779
172.28.113.78,2,1,"2687,,717",12103973-75983018
172.28.113.78,2,2,"2687,,717",12103973-75983019
172.28.113.78,2,3,"2687,,717",12103973-75983020
172.28.113.78,2,4,"2687,,717",12103973-75983021
172.28.113.78,2,5,"2687,,717",12103973-75983022
172.28.113.78,2,6,"2687,,717",12103973-75983023
172.28.113.78,2,7,"2687,,717",12103973-75983024
172.28.113.78,2,8,"2687,,717",12103973-75983025
172.28.113.78,3,1,"2687,,717",12103976-75983042
172.28.113.78,3,2,"2687,,717",12103976-75983043
172.28.113.78,3,3,"2687,,717",12103976-75983044
172.28.113.78,3,4,"2687,,717",12103976-75983045
172.28.113.78,3,5,"2687,,717",12103976-75983046
172.28.113.78,3,6,"2687,,717",12103976-75983047
172.28.113.78,3,7,"2687,,717",12103976-75983048
172.28.113.78,3,8,"2687,,717",12103976-75983049
172.28.113.78,4,1,"2687,,717",12103978-75983058
172.28.113.78,4,2,"2687,,717",12103978-75983059
172.28.113.78,4,3,"2687,,717",12103978-75983060
172.28.113.78,4,4,"2687,,717",12103978-75983061
172.28.113.78,4,5,"2687,,717",12103978-75983062
172.28.113.78,4,6,"2687,,717",12103978-75983063
172.28.113.78,4,7,"2687,,717",12103978-75983064
172.28.113.78,4,8,"2687,,717",12103978-75983065
172.28.113.78,5,1,"2687,,717",12103981-75983074
172.28.113.78,5,2,"2687,,717",12103981-75983075
172.28.113.78,5,3,"2687,,717",12103981-75983076
172.28.113.78,5,4,"2687,,717",12103981-75983077
172.28.113.78,5,5,"2687,,717",12103981-75983078
172.28.113.78,5,6,"2687,,717",12103981-75983079
172.28.113.78,5,7,"2687,,717",12103981-75983080
172.28.113.78,5,8,"2687,,717",12103981-75983081
172.28.113.78,6,1,"2687,,717",12103984-75983093
172.28.113.78,6,2,"2687,,717",12103984-75983094
172.28.113.78,6,3,"2687,,717",12103984-75983095
172.28.113.78,6,4,"2687,,717",12103984-75983096
172.28.113.78,6,5,"2687,,717",12103984-75983097
172.28.113.78,6,6,"2687,,717",12103984-75983098
172.28.113.78,6,7,"2687,,717",12103984-75983099
172.28.113.78,6,8,"2687,,717",12103984-75983100
172.28.113.78,7,1,"2687,,717",12103986-75983109
172.28.113.78,7,2,"2687,,717",12103986-75983110
172.28.113.78,7,3,"2687,,717",12103986-75983111
172.28.113.78,7,4,"2687,,717",12103986-75983112
172.28.113.78,7,5,"2687,,717",12103986-75983113
172.28.113.78,7,6,"2687,,717",12103986-75983114
172.28.113.78,7,7,"2687,,717",12103986-75983115
172.28.113.78,7,8,"2687,,717",12103986-75983116
172.28.113.78,8,1,"2687,,717",12103990-75983125
172.28.113.78,8,2,"2687,,717",12103990-75983126
172.28.113.78,8,3,"2687,,717",12103990-75983127
172.28.113.78,8,4,"2687,,717",12103990-75983128
172.28.113.78,8,5,"2687,,717",12103990-75983129
172.28.113.78,8,6,"2687,,717",12103990-75983130
172.28.113.78,8,7,"2687,,717",12103990-75983131
172.28.113.78,8,8,"2687,,717",12103990-75983132
172.28.113.78,9,1,"2687,,717",12103995-75983139
172.28.113.78,9,2,"2687,,717",12103995-75983140
172.28.113.78,9,3,"2687,,717",12103995-75983141
172.28.113.78,9,4,"2687,,717",12103995-75983142
172.28.113.78,9,5,"2687,,717",12103995-75983143
172.28.113.78,9,6,"2687,,717",12103995-75983144
172.28.113.78,9,7,"2687,,717",12103995-75983145
172.28.113.78,9,8,"2687,,717",12103995-75983146
172.28.113.78,12,1,"2687,,717",12104011-75983227
172.28.113.78,12,2,"2687,,717",12104011-75983228
172.28.113.78,12,3,"2687,,717",12104011-75983229
172.28.113.78,12,4,"2687,,717",12104011-75983230
172.28.113.78,12,5,"2687,,717",12104011-75983231
172.28.113.78,12,6,"2687,,717",12104011-75983232
172.28.113.78,12,7,"2687,,717",12104011-75983233
172.28.113.78,12,8,"2687,,717",12104011-75983234
172.28.113.78,13,1,"2687,,717",12104013-75983251
172.28.113.78,13,2,"2687,,717",12104013-75983252
172.28.113.78,13,3,"2687,,717",12104013-75983253
172.28.113.78,13,4,"2687,,717",12104013-75983254
172.28.113.78,13,5,"2687,,717",12104013-75983255
172.28.113.78,13,6,"2687,,717",12104013-75983256
172.28.113.78,13,7,"2687,,717",12104013-75983257
172.28.113.78,13,8,"2687,,717",12104013-75983258
172.28.113.78,14,1,"2687,,717",12104014-75983259
172.28.113.78,14,2,"2687,,717",12104014-75983260
172.28.113.78,14,3,"2687,,717",12104014-75983261
172.28.113.78,14,4,"2687,,717",12104014-75983262
172.28.113.78,14,5,"2687,,717",12104014-75983263
172.28.113.78,14,6,"2687,,717",12104014-75983264
172.28.113.78,14,7,"2687,,717",12104014-75983265
172.28.113.78,14,8,"2687,,717",12104014-75983266
172.28.113.78,15,1,"2687,,717",12104016-75983283
172.28.113.78,15,2,"2687,,717",12104016-75983284
172.28.113.78,15,3,"2687,,717",12104016-75983285
172.28.113.78,15,4,"2687,,717",12104016-75983286
172.28.113.78,15,5,"2687,,717",12104016-75983287
172.28.113.78,15,6,"2687,,717",12104016-75983288
172.28.113.78,15,7,"2687,,717",12104016-75983289
172.28.113.78,15,8,"2687,,717",12104016-75983290
172.28.113.78,16,1,"2687,,717",12104018-75983291
172.28.113.78,16,2,"2687,,717",12104018-75983292
172.28.113.78,16,3,"2687,,717",12104018-75983293
172.28.113.78,16,4,"2687,,717",12104018-75983294
172.28.113.78,16,5,"2687,,717",12104018-75983295
172.28.113.78,16,6,"2687,,717",12104018-75983296
172.28.113.78,16,7,"2687,,717",12104018-75983297
172.28.113.78,16,8,"2687,,717",12104018-75983298
172.28.113.78,17,1,"2687,,717",12104019-75983299
172.28.113.78,17,2,"2687,,717",12104019-75983300
172.28.113.78,17,3,"2687,,717",12104019-75983301
172.28.113.78,17,4,"2687,,717",12104019-75983302
172.28.113.78,17,5,"2687,,717",12104019-75983303
